tournament_id,match_id,source_match_id,match_number,edition_year,round_code,round_name,group_code,kickoff_datetime_utc,kickoff_datetime_local,venue_id,venue_name,home_team_id,away_team_id,home_team_confederation,away_team_confederation,home_tournament_name,away_tournament_name,home_canonical_name,away_canonical_name,status,source_url
WC-2026,WC-2026_065,400021485,65,2026,GS,First Stage,H,2026-06-27T00:00:00Z,2026-06-26T19:00:00Z,400249385,Houston Stadium,CPV,KSA,CAF,AFC,Cabo Verde,Saudi Arabia,Cape Verde,Saudi Arabia,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_066,400021484,66,2026,GS,First Stage,H,2026-06-27T00:00:00Z,2026-06-26T18:00:00Z,400252150,Guadalajara Stadium,URU,ESP,CONMEBOL,UEFA,Uruguay,Spain,Uruguay,Spain,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_063,400021479,63,2026,GS,First Stage,G,2026-06-27T03:00:00Z,2026-06-26T20:00:00Z,400216606,Seattle Stadium,EGY,IRN,CAF,AFC,Egypt,IR Iran,Egypt,Iran,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_064,400021481,64,2026,GS,First Stage,G,2026-06-27T03:00:00Z,2026-06-26T20:00:00Z,400248370,BC Place Vancouver,NZL,BEL,OFC,UEFA,New Zealand,Belgium,New Zealand,Belgium,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_067,400021508,67,2026,GS,First Stage,L,2026-06-27T21:00:00Z,2026-06-27T17:00:00Z,400257536,New York/New Jersey Stadium,PAN,ENG,CONCACAF,UEFA,Panama,England,Panama,England,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_068,400021509,68,2026,GS,First Stage,L,2026-06-27T21:00:00Z,2026-06-27T17:00:00Z,400248622,Philadelphia Stadium,CRO,GHA,UEFA,CAF,Croatia,Ghana,Croatia,Ghana,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_071,400021505,71,2026,GS,First Stage,K,2026-06-27T23:30:00Z,2026-06-27T19:30:00Z,400257525,Miami Stadium,COL,POR,CONMEBOL,UEFA,Colombia,Portugal,Colombia,Portugal,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_072,400021500,72,2026,GS,First Stage,K,2026-06-27T23:30:00Z,2026-06-27T19:30:00Z,400098290,Atlanta Stadium,COD,UZB,CAF,AFC,Congo DR,Uzbekistan,DR Congo,Uzbekistan,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_069,400021497,69,2026,GS,First Stage,J,2026-06-28T02:00:00Z,2026-06-27T21:00:00Z,400254717,Kansas City Stadium,ALG,AUT,CAF,UEFA,Algeria,Austria,Algeria,Austria,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_070,400021495,70,2026,GS,First Stage,J,2026-06-28T02:00:00Z,2026-06-27T21:00:00Z,400257526,Dallas Stadium,JOR,ARG,AFC,CONMEBOL,Jordan,Argentina,Jordan,Argentina,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_073,400021518,73,2026,R32,Round of 32,,2026-06-28T19:00:00Z,2026-06-28T12:00:00Z,400017978,Los Angeles Stadium,,,,,,,,,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_076,400021516,76,2026,R32,Round of 32,,2026-06-29T17:00:00Z,2026-06-29T12:00:00Z,400249385,Houston Stadium,,,,,,,,,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
