tournament_id,year,team_id,team,canonical_name,tournament_name,fifa_code,flag_icon_code,flag_icon_css_class,confederation,group_code,is_host,qualification_path,world_cup_participations,weighted_world_cup_participations,weighted_world_cup_placement_score,squad_status,source_url,source_as_of
WC-2026,2026,USA,USA,United States,2026 FIFA Men's World Cup,USA,us,fi fi-us,CONCACAF,D,TRUE,Host nation,12,2556.0,0.237818,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,CUW,Curaçao,Curacao,2026 FIFA Men's World Cup,CUW,cw,fi fi-cw,CONCACAF,E,FALSE,Qualified,1,0.0,0.0,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,CIV,Côte d'Ivoire,Ivory Coast,2026 FIFA Men's World Cup,CIV,ci,fi fi-ci,CAF,E,FALSE,Qualified,4,1085.0,0.014295,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,ECU,Ecuador,Ecuador,2026 FIFA Men's World Cup,ECU,ec,fi fi-ec,CONMEBOL,E,FALSE,Qualified,5,1497.0,0.055453,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,GER,Germany,Germany,2026 FIFA Men's World Cup,GER,de,fi fi-de,UEFA,E,FALSE,Qualified,21,3778.0,0.62056,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,JPN,Japan,Japan,2026 FIFA Men's World Cup,JPN,jp,fi fi-jp,AFC,F,FALSE,Qualified,8,2555.0,0.207346,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,NED,Netherlands,Netherlands,2026 FIFA Men's World Cup,NED,nl,fi fi-nl,UEFA,F,FALSE,Qualified,12,2480.0,0.478214,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,SWE,Sweden,Sweden,2026 FIFA Men's World Cup,SWE,se,fi fi-se,UEFA,F,FALSE,Qualified,13,1842.0,0.241545,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,TUN,Tunisia,Tunisia,2026 FIFA Men's World Cup,TUN,tn,fi fi-tn,CAF,F,FALSE,Qualified,7,1915.0,0.025231,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,BEL,Belgium,Belgium,2026 FIFA Men's World Cup,BEL,be,fi fi-be,UEFA,G,FALSE,Qualified,15,2724.0,0.322181,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,EGY,Egypt,Egypt,2026 FIFA Men's World Cup,EGY,eg,fi fi-eg,CAF,G,FALSE,Qualified,4,641.0,0.008445,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,IRN,IR Iran,Iran,2026 FIFA Men's World Cup,IRN,ir,fi fi-ir,AFC,G,FALSE,Qualified,7,2026.0,0.026693,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,NZL,New Zealand,New Zealand,2026 FIFA Men's World Cup,NZL,nz,fi fi-nz,OFC,G,FALSE,Qualified,3,505.0,0.006653,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,CPV,Cabo Verde,Cape Verde,2026 FIFA Men's World Cup,CPV,cv,fi fi-cv,CAF,H,FALSE,Qualified,1,0.0,0.0,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,KSA,Saudi Arabia,Saudi Arabia,2026 FIFA Men's World Cup,KSA,sa,fi fi-sa,AFC,H,FALSE,Qualified,7,2019.0,0.042913,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,ESP,Spain,Spain,2026 FIFA Men's World Cup,ESP,es,fi fi-es,UEFA,H,FALSE,Qualified,17,3543.0,0.425159,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,URU,Uruguay,Uruguay,2026 FIFA Men's World Cup,URU,uy,fi fi-uy,CONMEBOL,H,FALSE,Qualified,15,2676.0,0.289855,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,FRA,France,France,2026 FIFA Men's World Cup,FRA,fr,fi fi-fr,UEFA,I,FALSE,Qualified,17,3128.0,0.548139,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,IRQ,Iraq,Iraq,2026 FIFA Men's World Cup,IRQ,iq,fi fi-iq,AFC,I,FALSE,Qualified,2,169.0,0.002227,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,NOR,Norway,Norway,2026 FIFA Men's World Cup,NOR,no,fi fi-no,UEFA,I,FALSE,Qualified,4,490.0,0.034686,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,SEN,Senegal,Senegal,2026 FIFA Men's World Cup,SEN,sn,fi fi-sn,CAF,I,FALSE,Qualified,4,1214.0,0.119714,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,ALG,Algeria,Algeria,2026 FIFA Men's World Cup,ALG,dz,fi fi-dz,CAF,J,FALSE,Qualified,5,1074.0,0.05826,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,ARG,Argentina,Argentina,2026 FIFA Men's World Cup,ARG,ar,fi fi-ar,CONMEBOL,J,FALSE,Qualified,19,3664.0,0.650774,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,AUT,Austria,Austria,2026 FIFA Men's World Cup,AUT,at,fi fi-at,UEFA,J,FALSE,Qualified,8,782.0,0.051994,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,JOR,Jordan,Jordan,2026 FIFA Men's World Cup,JOR,jo,fi fi-jo,AFC,J,FALSE,Qualified,1,0.0,0.0,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,COL,Colombia,Colombia,2026 FIFA Men's World Cup,COL,co,fi fi-co,CONMEBOL,K,FALSE,Qualified,7,1567.0,0.153171,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,COD,Congo DR,DR Congo,2026 FIFA Men's World Cup,COD,cd,fi fi-cd,CAF,K,FALSE,Qualified,2,100.0,0.001318,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,POR,Portugal,Portugal,2026 FIFA Men's World Cup,POR,pt,fi fi-pt,UEFA,K,FALSE,Qualified,9,2532.0,0.287528,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,UZB,Uzbekistan,Uzbekistan,2026 FIFA Men's World Cup,UZB,uz,fi fi-uz,AFC,K,FALSE,Qualified,1,0.0,0.0,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,CRO,Croatia,Croatia,2026 FIFA Men's World Cup,CRO,hr,fi fi-hr,UEFA,L,FALSE,Qualified,7,2194.0,0.296792,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,ENG,England,England,2026 FIFA Men's World Cup,ENG,gb-eng,fi fi-gb-eng,UEFA,L,FALSE,Qualified,17,3335.0,0.51772,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,GHA,Ghana,Ghana,2026 FIFA Men's World Cup,GHA,gh,fi fi-gh,CAF,L,FALSE,Qualified,5,1569.0,0.119291,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,PAN,Panama,Panama,2026 FIFA Men's World Cup,PAN,pa,fi fi-pa,CONCACAF,L,FALSE,Qualified,2,441.0,0.00581,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
