tournament_id,edition_year,year,team_id,team,team_code,confederation,group,coach,player_name,position,pos_code,jersey_number,date_of_birth,club,caps,goals,is_captain,is_final_squad,source_url,source_as_of
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Son Heung-min,forward,FW,,1992-07-08,Los Angeles FC,142,54,TRUE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Jo Hyeon-woo,goalkeeper,GK,,1991-09-25,Ulsan HD,47,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Kim Seung-gyu,goalkeeper,GK,,1990-09-30,FC Tokyo,85,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Song Bum-keun,goalkeeper,GK,,1997-10-15,Jeonbuk Hyundai Motors,2,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Bae Jun-ho,midfielder,MF,,2003-08-21,Stoke City,12,2,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Eom Ji-sung,midfielder,MF,,2002-05-09,Swansea City,8,2,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Hwang Hee-chan,midfielder,MF,,1996-01-26,Wolverhampton Wanderers,77,16,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Hwang In-beom,midfielder,MF,,1996-09-20,Feyenoord,71,6,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Kim Jin-gyu,midfielder,MF,,1997-02-24,Jeonbuk Hyundai Motors,20,3,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Lee Dong-gyeong,midfielder,MF,,1997-09-20,Ulsan HD,16,3,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Lee Jae-sung,midfielder,MF,,1992-08-10,Mainz 05,103,15,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Lee Kang-in,midfielder,MF,,2001-02-19,Paris Saint-Germain,46,11,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Paik Seung-ho,midfielder,MF,,1997-03-17,Birmingham City,25,3,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Yang Hyun-jun,midfielder,MF,,2002-05-25,Celtic,8,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Alejandro Gómez,defender,DF,,2002-01-31,Tijuana,1,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Bryan González,defender,DF,,2003-04-10,Guadalajara,2,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,César Montes,defender,DF,,1997-02-24,Lokomotiv Moscow,65,4,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Denzell García,defender,DF,,2003-08-15,Juárez,2,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Eduardo Águila,defender,DF,,2002-05-17,Atlético San Luis,1,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Everardo López,defender,DF,,2005-03-23,Toluca,3,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Israel Reyes,defender,DF,,2000-05-23,América,31,2,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Jesús Alberto Angulo,defender,DF,,1998-01-30,UANL,19,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Jesús Gallardo,defender,DF,,1994-08-15,Toluca,118,3,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Johan Vásquez,defender,DF,,1998-10-22,Genoa,44,1,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Jorge Sánchez,defender,DF,,1997-12-10,PAOK,56,3,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
