tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,1981-11-04,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,TRUE,0,1,loss,Riyadh,Saudi Arabia,FALSE,1491,1631,1473,1649,-18
,,,1981-11-12,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,China PR,,,,TRUE,2,4,loss,Kuala Lumpur,Malaysia,TRUE,1473,1624,1455,1642,-18
,,,1981-11-19,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,China PR,,,,FALSE,0,2,loss,Kuala Lumpur,Malaysia,TRUE,1455,1642,1440,1657,-15
,,,1981-11-28,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,New Zealand,NZL,NZL,OFC,FALSE,2,2,draw,Auckland,New Zealand,FALSE,1440,1546,1451,1535,11
,,,1981-12-07,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,FALSE,0,2,loss,Kuwait City,Kuwait,FALSE,1451,1664,1443,1672,-8
,,,1981-12-19,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,New Zealand,NZL,NZL,OFC,TRUE,0,5,loss,Riyadh,Saudi Arabia,FALSE,1443,1547,1403,1587,-40
,,,1982-03-21,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,United Arab Emirates,ARE,ARE,AFC,FALSE,0,1,loss,Abu Dhabi,United Arab Emirates,FALSE,1406,1163,1378,1191,-28
,,,1982-03-26,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,TRUE,0,1,loss,Abu Dhabi,United Arab Emirates,TRUE,1394,1664,1387,1671,-7
,,,1982-03-29,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,TRUE,1,0,win,Abu Dhabi,United Arab Emirates,TRUE,1387,1221,1398,1210,11
,,,1982-03-31,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Oman,,,,TRUE,3,0,win,Abu Dhabi,United Arab Emirates,TRUE,1398,832,1401,829,3
,,,1982-04-02,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Bahrain,,,,FALSE,2,2,draw,Abu Dhabi,United Arab Emirates,TRUE,1401,1231,1392,1240,-9
,,,1982-10-03,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Morocco,MAR,MAR,CAF,TRUE,2,1,win,Riyadh,Saudi Arabia,FALSE,1392,1588,1405,1575,13
,,,1982-10-12,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Cameroon,CMR,CMR,CAF,TRUE,0,0,draw,Riyadh,Saudi Arabia,FALSE,1405,1678,1410,1673,5
,,,1982-11-20,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,Thailand,,,,TRUE,1,0,win,New Delhi,India,TRUE,1410,1327,1425,1312,15
,,,1982-11-22,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,Syria,,,,TRUE,1,1,draw,New Delhi,India,TRUE,1425,1280,1417,1288,-8
,,,1982-11-24,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,North Korea,PRK,PRK,AFC,FALSE,2,2,draw,New Delhi,India,TRUE,1417,1577,1426,1568,9
,,,1982-11-27,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,India,,,,FALSE,1,0,win,New Delhi,India,FALSE,1426,1258,1442,1242,16
,,,1982-12-01,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,Iraq,IRQ,IRQ,AFC,TRUE,0,1,loss,New Delhi,India,TRUE,1442,1713,1435,1720,-7
,,,1982-12-02,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,North Korea,PRK,PRK,AFC,FALSE,2,0,win,New Delhi,India,TRUE,,,,,
,,,1984-02-21,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Algeria,DZA,DZA,CAF,TRUE,4,2,win,Riyadh,Saudi Arabia,FALSE,1507,1628,1523,1612,16
,,,1984-03-10,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,TRUE,1,2,loss,Muscat,Oman,TRUE,1523,1330,1493,1360,-30
,,,1984-03-15,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Oman,,,,FALSE,3,1,win,Muscat,Oman,FALSE,1493,819,1495,817,2
,,,1984-03-17,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Iraq,IRQ,IRQ,AFC,FALSE,0,4,loss,Muscat,Oman,TRUE,1495,1671,1475,1691,-20
,,,1984-03-20,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,TRUE,1,1,draw,Muscat,Oman,TRUE,1475,1533,1478,1530,3
,,,1984-03-23,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,United Arab Emirates,ARE,ARE,AFC,TRUE,2,0,win,Muscat,Oman,TRUE,1478,1271,1492,1257,14
,,,1984-03-26,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Bahrain,,,,FALSE,2,0,win,Muscat,Oman,TRUE,1492,1270,1505,1257,13
,,,1984-09-25,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Iceland,ISL,ISL,UEFA,TRUE,1,2,loss,Khobar,Saudi Arabia,FALSE,1567,1488,1552,1503,-15
,,,1984-10-08,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Thailand,,,,TRUE,2,1,win,Jeddah,Saudi Arabia,FALSE,1552,1291,1554,1289,2
,,,1984-10-10,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Thailand,,,,TRUE,1,3,loss,Jeddah,Saudi Arabia,FALSE,1554,1289,1527,1316,-27
,,,1984-10-19,AFC Asian Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Nepal,,,,TRUE,7,0,win,Jeddah,Saudi Arabia,FALSE,1527,910,1528,909,1
,,,1984-10-22,AFC Asian Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,United Arab Emirates,ARE,ARE,AFC,TRUE,1,0,win,Jeddah,Saudi Arabia,FALSE,1528,1257,1532,1253,4
,,,1984-10-24,AFC Asian Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Sri Lanka,,,,TRUE,5,0,win,Jeddah,Saudi Arabia,FALSE,1532,950,1534,948,2
,,,1984-10-26,AFC Asian Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Oman,,,,TRUE,6,0,win,Jeddah,Saudi Arabia,FALSE,1534,843,1535,842,1
,,,1984-11-20,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Finland,,,,TRUE,2,1,win,Jubail,Saudi Arabia,FALSE,1535,1492,1541,1486,6
,,,1984-12-02,AFC Asian Cup,played,Saudi Arabia,KSA,SAU,AFC,South Korea,KOR,KOR,AFC,TRUE,1,1,draw,Kallang,Singapore,TRUE,1541,1616,1546,1611,5
,,,1984-12-04,AFC Asian Cup,played,Saudi Arabia,KSA,SAU,AFC,Syria,,,,FALSE,1,0,win,Kallang,Singapore,TRUE,1546,1324,1557,1313,11
,,,1984-12-08,AFC Asian Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,FALSE,1,1,draw,Kallang,Singapore,TRUE,1557,1477,1551,1483,-6
,,,1984-12-11,AFC Asian Cup,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,TRUE,1,0,win,Kallang,Singapore,TRUE,1551,1564,1577,1538,26
,,,1984-12-13,AFC Asian Cup,played,Saudi Arabia,KSA,SAU,AFC,Iran,IRN,IRN,AFC,TRUE,1,1,draw,Kallang,Singapore,TRUE,1577,1717,1587,1707,10
,,,1984-12-16,AFC Asian Cup,played,Saudi Arabia,KSA,SAU,AFC,China PR,,,,TRUE,2,0,win,Kallang,Singapore,TRUE,1587,1647,1631,1603,44
,,,1985-04-12,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,United Arab Emirates,ARE,ARE,AFC,TRUE,0,0,draw,Riyadh,Saudi Arabia,FALSE,1627,1318,1610,1335,-17
,,,1985-04-19,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,United Arab Emirates,ARE,ARE,AFC,FALSE,0,1,loss,Dubai,United Arab Emirates,FALSE,1610,1335,1581,1364,-29
,,,1985-07-03,Arab Cup,played,Saudi Arabia,KSA,SAU,AFC,Jordan,,,,TRUE,4,0,win,Taif,Saudi Arabia,FALSE,1581,1154,1584,1151,3
,,,1985-07-07,Arab Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,TRUE,1,0,win,Taif,Saudi Arabia,FALSE,1584,1540,1596,1528,12
,,,1985-07-10,Arab Cup,played,Saudi Arabia,KSA,SAU,AFC,Iraq,IRQ,IRQ,AFC,TRUE,2,3,loss,Taif,Saudi Arabia,FALSE,1596,1615,1571,1640,-25
,,,1985-07-12,Arab Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,TRUE,0,0,draw,Taif,Saudi Arabia,FALSE,1571,1520,1563,1528,-8
,,,1985-07-28,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Tunisia,TUN,TUN,CAF,FALSE,0,1,loss,Tunis,Tunisia,FALSE,1563,1623,1557,1629,-6
,,,1985-09-15,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Cameroon,CMR,CMR,CAF,FALSE,1,4,loss,Yaoundé,Cameroon,FALSE,1623,1591,1588,1626,-35
,,,1985-10-04,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Cameroon,CMR,CMR,CAF,TRUE,2,1,win,Taif,Saudi Arabia,FALSE,1588,1626,1609,1605,21
,,,1986-02-17,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Algeria,DZA,DZA,CAF,TRUE,0,0,draw,Khobar,Saudi Arabia,FALSE,1616,1648,1614,1650,-2
,,,1986-02-21,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Algeria,DZA,DZA,CAF,TRUE,1,1,draw,Khobar,Saudi Arabia,FALSE,1614,1650,1612,1652,-2
,,,1986-02-25,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Wales,WAL,WAL,UEFA,TRUE,1,2,loss,Khobar,Saudi Arabia,FALSE,1612,1792,1604,1800,-8
,,,1986-02-28,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Finland,,,,TRUE,0,1,loss,Khobar,Saudi Arabia,FALSE,1604,1535,1589,1550,-15
,,,1986-03-12,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Paraguay,PRY,PRY,CONMEBOL,TRUE,0,0,draw,Khobar,Saudi Arabia,FALSE,1589,1802,1592,1799,3
,,,1986-03-23,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,TRUE,1,3,loss,Riffa,Bahrain,TRUE,1592,1507,1555,1544,-37
,,,1986-03-25,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Bahrain,,,,FALSE,1,2,loss,Riffa,Bahrain,FALSE,1555,1347,1529,1373,-26
,,,1986-03-28,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Oman,,,,TRUE,3,1,win,Riffa,Bahrain,TRUE,1529,898,1531,896,2
,,,1986-03-30,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Iraq,IRQ,IRQ,AFC,FALSE,2,1,win,Riffa,Bahrain,TRUE,1531,1639,1557,1613,26
,,,1986-04-02,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,United Arab Emirates,ARE,ARE,AFC,TRUE,0,2,loss,Riffa,Bahrain,TRUE,1557,1387,1513,1431,-44
