match_number,date,stage,status,home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_elo_start,away_elo_start,home_elo_end,away_elo_end,home_elo_delta,away_elo_delta,city,country,neutral,decided_by_shootout,shootout_winner
35,1990-06-21,Group Stage,played,Republic of Ireland,Netherlands,IRL,NLD,1,1,,,,,,,Palermo,Italy,TRUE,FALSE,
36,1990-06-21,Group Stage,played,South Korea,Uruguay,KOR,URY,0,1,1692,1849,1675,1866,-17,17,Udine,Italy,TRUE,FALSE,
37,1990-06-23,Round of 16,played,Cameroon,Colombia,CMR,COL,2,1,1684,1805,1724,1765,40,-40,Naples,Italy,TRUE,FALSE,
38,1990-06-23,Round of 16,played,Czechoslovakia,Costa Rica,CSK,CRI,4,1,1872,1694,1900,1666,28,-28,Bari,Italy,TRUE,FALSE,
39,1990-06-24,Round of 16,played,Brazil,Argentina,BRA,ARG,0,1,2036,1820,1989,1867,-47,47,Turin,Italy,TRUE,FALSE,
40,1990-06-24,Round of 16,played,Germany,Netherlands,DEU,NLD,2,1,,,,,,,Milan,Italy,TRUE,FALSE,
41,1990-06-25,Round of 16,played,Republic of Ireland,Romania,IRL,ROU,0,0,,,,,,,Genoa,Italy,TRUE,TRUE,Republic of Ireland
42,1990-06-25,Round of 16,played,Italy,Uruguay,ITA,URY,2,0,2001,1866,2019,1848,18,-18,Rome,Italy,FALSE,FALSE,
43,1990-06-26,Round of 16,played,England,Belgium,ENG,BEL,1,0,1956,1896,1981,1871,25,-25,Bologna,Italy,TRUE,FALSE,
44,1990-06-26,Round of 16,played,Spain,Yugoslavia,ESP,YUG,1,2,1973,1889,1936,1926,-37,37,Verona,Italy,TRUE,FALSE,
45,1990-06-30,Quarter-final,played,Italy,Republic of Ireland,ITA,IRL,1,0,,,,,,,Rome,Italy,FALSE,FALSE,
46,1990-06-30,Quarter-final,played,Yugoslavia,Argentina,YUG,ARG,0,0,1926,1867,1921,1872,-5,5,Florence,Italy,TRUE,TRUE,Argentina
47,1990-07-01,Quarter-final,played,Cameroon,England,CMR,ENG,2,3,1724,1981,1713,1992,-11,11,Naples,Italy,TRUE,FALSE,
48,1990-07-01,Quarter-final,played,Germany,Czechoslovakia,DEU,CSK,1,0,,,,,,,Milan,Italy,TRUE,FALSE,
49,1990-07-03,Semi-final,played,Italy,Argentina,ITA,ARG,1,1,2032,1872,2013,1891,-19,19,Naples,Italy,FALSE,TRUE,Argentina
50,1990-07-04,Semi-final,played,Germany,England,DEU,ENG,1,1,,,,,,,Turin,Italy,TRUE,TRUE,Germany
51,1990-07-07,Third Place,played,Italy,England,ITA,ENG,2,1,2013,1998,2033,1978,20,-20,Bari,Italy,FALSE,FALSE,
52,1990-07-08,Final,played,Germany,Argentina,DEU,ARG,1,0,,,,,,,Rome,Italy,TRUE,FALSE,
