tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,1996-12-11,King Hassan II Tournament,played,Croatia,HRV,HRV,UEFA,Morocco,MAR,MAR,CAF,FALSE,2,2,draw,Casablanca,Morocco,FALSE,1894,1632,1887,1639,-7
,,,1996-12-12,King Hassan II Tournament,played,Croatia,HRV,HRV,UEFA,Czechia,CZE,CZE,UEFA,TRUE,1,1,draw,Casablanca,Morocco,TRUE,1887,1927,1889,1925,2
,,,1997-03-29,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Denmark,DNK,DNK,UEFA,TRUE,1,1,draw,Split,Croatia,FALSE,1889,1971,1888,1972,-1
,,,1997-04-02,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Slovenia,SVN,SVN,UEFA,TRUE,3,3,draw,Split,Croatia,FALSE,1888,1577,1871,1594,-17
,,,1997-04-30,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Greece,GRC,GRC,UEFA,FALSE,1,0,win,Salonica,Greece,FALSE,1871,1705,1887,1689,16
,,,1997-06-08,Kirin Cup,played,Croatia,HRV,HRV,UEFA,Japan,JPN,JPN,AFC,FALSE,3,4,loss,Tokyo,Japan,FALSE,1887,1715,1869,1733,-18
,,,1997-06-12,Kirin Cup,played,Croatia,HRV,HRV,UEFA,Turkey,TUR,TUR,UEFA,TRUE,1,1,draw,Sendai,Japan,TRUE,1869,1684,1862,1691,-7
,,,1997-09-06,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Bosnia and Herzegovina,BIH,BIH,UEFA,TRUE,3,2,win,Zagreb,Croatia,FALSE,1862,1629,1867,1624,5
,,,1997-09-10,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Denmark,DNK,DNK,UEFA,FALSE,1,3,loss,Copenhagen,Denmark,FALSE,1867,1919,1849,1937,-18
,,,1997-10-11,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Slovenia,SVN,SVN,UEFA,FALSE,3,1,win,Ljubljana,Slovenia,FALSE,1849,1544,1863,1530,14
,,,1997-10-29,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Ukraine,UKR,UKR,UEFA,TRUE,2,0,win,Zagreb,Croatia,FALSE,1863,1696,1874,1685,11
,,,1997-11-15,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Ukraine,UKR,UKR,UEFA,FALSE,1,1,draw,Kyiv,Ukraine,FALSE,1874,1685,1869,1690,-5
,,,1998-04-22,Friendly,played,Croatia,HRV,HRV,UEFA,Poland,POL,POL,UEFA,TRUE,4,1,win,Osijek,Croatia,FALSE,1869,1661,1874,1656,5
,,,1998-06-03,Friendly,played,Croatia,HRV,HRV,UEFA,Iran,IRN,IRN,AFC,TRUE,2,0,win,Rijeka,Croatia,FALSE,1858,1640,1862,1636,4
,,,1998-06-06,Friendly,played,Croatia,HRV,HRV,UEFA,Australia,AUS,AUS,AFC,TRUE,7,0,win,Zagreb,Croatia,FALSE,1862,1792,1874,1780,12
WC-1998,WC-1998_012,12,1998-06-14,FIFA World Cup,played,Croatia,HRV,HRV,UEFA,Jamaica,JAM,JAM,CONCACAF,FALSE,3,1,win,Lens,France,TRUE,1874,1645,1893,1626,19
WC-1998,WC-1998_026,26,1998-06-20,FIFA World Cup,played,Croatia,HRV,HRV,UEFA,Japan,JPN,JPN,AFC,FALSE,1,0,win,Nantes,France,TRUE,1893,1725,1910,1708,17
WC-1998,WC-1998_045,45,1998-06-26,FIFA World Cup,played,Croatia,HRV,HRV,UEFA,Argentina,ARG,ARG,CONMEBOL,FALSE,0,1,loss,Bordeaux,France,TRUE,1910,1930,1882,1958,-28
WC-1998,WC-1998_056,56,1998-06-30,FIFA World Cup,played,Croatia,HRV,HRV,UEFA,Romania,ROU,ROU,UEFA,FALSE,1,0,win,Bordeaux,France,TRUE,1882,1916,1915,1883,33
WC-1998,WC-1998_059,59,1998-07-04,FIFA World Cup,played,Croatia,HRV,HRV,UEFA,Germany,GER,DEU,UEFA,FALSE,3,0,win,Lyon,France,TRUE,1915,2087,1992,2010,77
WC-1998,WC-1998_062,62,1998-07-08,FIFA World Cup,played,Croatia,HRV,HRV,UEFA,France,FRA,FRA,UEFA,FALSE,1,2,loss,Saint-Denis,France,FALSE,1992,2025,1973,2044,-19
WC-1998,WC-1998_063,63,1998-07-11,FIFA World Cup,played,Croatia,HRV,HRV,UEFA,Netherlands,NED,NLD,UEFA,FALSE,2,1,win,Paris,France,TRUE,1973,2030,2008,1995,35
,,,1998-09-05,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Republic of Ireland,IRL,IRL,UEFA,FALSE,0,2,loss,Dublin,Republic of Ireland,FALSE,,,,,
