lead_in_id,match_key,date,qualified_team_id,qualified_team_name,source_team_name,opponent_team_id,opponent_name,source_opponent_name,perspective,is_home_perspective,home_team,away_team,home_team_canonical,away_team_canonical,team_score,opponent_score,goal_difference,team_elo_start,opponent_elo_start,team_elo_delta,result,tournament,city,country,neutral,days_before_tournament,goalscorer_events_for_team,goalscorer_events_for_opponent,penalty_goal_events_for_team,penalty_goal_events_for_opponent,own_goal_events_for_team,own_goal_events_for_opponent,decided_by_shootout,shootout_winner,shootout_first_shooter,tournament_id,match_id,match_number,stage,status
lead_in_000011,1876-03-25|Scotland|Wales,1876-03-25,SCO,Scotland,Scotland,,Wales,Wales,home,True,Scotland,Wales,Scotland,Wales,4,0,4,2010.0,1500.0,1.0,win,Friendly,Glasgow,Scotland,False,54864,0,0,0,0,0,0,False,,,1876_friendly,1876-03-25|Scotland|Wales,,Friendly,completed
lead_in_000012,1877-03-03|England|Scotland,1877-03-03,ENG,England,England,SCO,Scotland,Scotland,home,True,England,Scotland,England,Scotland,1,3,-2,1990.0,2011.0,-18.0,loss,Friendly,London,England,False,54521,0,0,0,0,0,0,False,,,1877_friendly,1877-03-03|England|Scotland,,Friendly,completed
lead_in_000013,1877-03-03|England|Scotland,1877-03-03,SCO,Scotland,Scotland,ENG,England,England,away,False,England,Scotland,England,Scotland,3,1,2,2011.0,1990.0,18.0,win,Friendly,London,England,False,54521,0,0,0,0,0,0,False,,,1877_friendly,1877-03-03|England|Scotland,,Friendly,completed
lead_in_000014,1877-03-05|Wales|Scotland,1877-03-05,SCO,Scotland,Scotland,,Wales,Wales,away,False,Wales,Scotland,Wales,Scotland,2,0,2,2029.0,1499.0,2.0,win,Friendly,Wrexham,Wales,False,54519,0,0,0,0,0,0,False,,,1877_friendly,1877-03-05|Wales|Scotland,,Friendly,completed
lead_in_000015,1878-03-02|Scotland|England,1878-03-02,SCO,Scotland,Scotland,ENG,England,England,home,True,Scotland,England,Scotland,England,7,2,5,2031.0,1972.0,11.0,win,Friendly,Glasgow,Scotland,False,54157,0,0,0,0,0,0,False,,,1878_friendly,1878-03-02|Scotland|England,,Friendly,completed
lead_in_000016,1878-03-02|Scotland|England,1878-03-02,ENG,England,England,SCO,Scotland,Scotland,away,False,Scotland,England,Scotland,England,2,7,-5,1972.0,2031.0,-11.0,loss,Friendly,Glasgow,Scotland,False,54157,0,0,0,0,0,0,False,,,1878_friendly,1878-03-02|Scotland|England,,Friendly,completed
lead_in_000017,1878-03-23|Scotland|Wales,1878-03-23,SCO,Scotland,Scotland,,Wales,Wales,home,True,Scotland,Wales,Scotland,Wales,9,0,9,2042.0,1497.0,1.0,win,Friendly,Glasgow,Scotland,False,54136,0,0,0,0,0,0,False,,,1878_friendly,1878-03-23|Scotland|Wales,,Friendly,completed
lead_in_000018,1879-01-18|England|Wales,1879-01-18,ENG,England,England,,Wales,Wales,home,True,England,Wales,England,Wales,2,1,1,1961.0,1496.0,1.0,win,Friendly,London,England,False,53835,0,0,0,0,0,0,False,,,1879_friendly,1879-01-18|England|Wales,,Friendly,completed
lead_in_000019,1879-04-05|England|Scotland,1879-04-05,ENG,England,England,SCO,Scotland,Scotland,home,True,England,Scotland,England,Scotland,5,4,1,1962.0,2043.0,9.0,win,Friendly,London,England,False,53758,0,0,0,0,0,0,False,,,1879_friendly,1879-04-05|England|Scotland,,Friendly,completed
lead_in_000020,1879-04-05|England|Scotland,1879-04-05,SCO,Scotland,Scotland,ENG,England,England,away,False,England,Scotland,England,Scotland,4,5,-1,2043.0,1962.0,-9.0,loss,Friendly,London,England,False,53758,0,0,0,0,0,0,False,,,1879_friendly,1879-04-05|England|Scotland,,Friendly,completed
lead_in_000021,1879-04-07|Wales|Scotland,1879-04-07,SCO,Scotland,Scotland,,Wales,Wales,away,False,Wales,Scotland,Wales,Scotland,3,0,3,2034.0,1495.0,3.0,win,Friendly,Wrexham,Wales,False,53756,0,0,0,0,0,0,False,,,1879_friendly,1879-04-07|Wales|Scotland,,Friendly,completed
lead_in_000022,1880-03-13|Scotland|England,1880-03-13,SCO,Scotland,Scotland,ENG,England,England,home,True,Scotland,England,Scotland,England,5,4,1,2037.0,1971.0,6.0,win,Friendly,Glasgow,Scotland,False,53415,0,0,0,0,0,0,False,,,1880_friendly,1880-03-13|Scotland|England,,Friendly,completed
lead_in_000023,1880-03-13|Scotland|England,1880-03-13,ENG,England,England,SCO,Scotland,Scotland,away,False,Scotland,England,Scotland,England,4,5,-1,1971.0,2037.0,-6.0,loss,Friendly,Glasgow,Scotland,False,53415,0,0,0,0,0,0,False,,,1880_friendly,1880-03-13|Scotland|England,,Friendly,completed
lead_in_000024,1880-03-15|Wales|England,1880-03-15,ENG,England,England,,Wales,Wales,away,False,Wales,England,Wales,England,3,2,1,1965.0,1492.0,2.0,win,Friendly,Wrexham,Wales,False,53413,0,0,0,0,0,0,False,,,1880_friendly,1880-03-15|Wales|England,,Friendly,completed
lead_in_000025,1880-03-27|Scotland|Wales,1880-03-27,SCO,Scotland,Scotland,,Wales,Wales,home,True,Scotland,Wales,Scotland,Wales,5,1,4,2043.0,1490.0,1.0,win,Friendly,Glasgow,Scotland,False,53401,0,0,0,0,0,0,False,,,1880_friendly,1880-03-27|Scotland|Wales,,Friendly,completed
lead_in_000026,1881-02-26|England|Wales,1881-02-26,ENG,England,England,,Wales,Wales,home,True,England,Wales,England,Wales,0,1,-1,1967.0,1489.0,-19.0,loss,Friendly,Blackburn,England,False,53065,0,0,0,0,0,0,False,,,1881_friendly,1881-02-26|England|Wales,,Friendly,completed
lead_in_000027,1881-03-12|England|Scotland,1881-03-12,ENG,England,England,SCO,Scotland,Scotland,home,True,England,Scotland,England,Scotland,1,6,-5,1948.0,2044.0,-20.0,loss,Friendly,London,England,False,53051,0,0,0,0,0,0,False,,,1881_friendly,1881-03-12|England|Scotland,,Friendly,completed
lead_in_000028,1881-03-12|England|Scotland,1881-03-12,SCO,Scotland,Scotland,ENG,England,England,away,False,England,Scotland,England,Scotland,6,1,5,2044.0,1948.0,20.0,win,Friendly,London,England,False,53051,0,0,0,0,0,0,False,,,1881_friendly,1881-03-12|England|Scotland,,Friendly,completed
lead_in_000029,1881-03-14|Wales|Scotland,1881-03-14,SCO,Scotland,Scotland,,Wales,Wales,away,False,Wales,Scotland,Wales,Scotland,5,1,4,2064.0,1508.0,3.0,win,Friendly,Wrexham,Wales,False,53049,0,0,0,0,0,0,False,,,1881_friendly,1881-03-14|Wales|Scotland,,Friendly,completed
lead_in_000030,1882-02-18|Northern Ireland|England,1882-02-18,ENG,England,England,,Northern Ireland,Northern Ireland,away,False,Northern Ireland,England,Northern Ireland,England,13,0,13,1928.0,1300.0,3.0,win,Friendly,Belfast,Ireland,False,52708,0,0,0,0,0,0,False,,,1882_friendly,1882-02-18|Northern Ireland|England,,Friendly,completed
lead_in_000031,1882-03-11|Scotland|England,1882-03-11,SCO,Scotland,Scotland,ENG,England,England,home,True,Scotland,England,Scotland,England,5,1,4,2067.0,1931.0,8.0,win,Friendly,Glasgow,Scotland,False,52687,0,0,0,0,0,0,False,,,1882_friendly,1882-03-11|Scotland|England,,Friendly,completed
lead_in_000032,1882-03-11|Scotland|England,1882-03-11,ENG,England,England,SCO,Scotland,Scotland,away,False,Scotland,England,Scotland,England,1,5,-4,1931.0,2067.0,-8.0,loss,Friendly,Glasgow,Scotland,False,52687,0,0,0,0,0,0,False,,,1882_friendly,1882-03-11|Scotland|England,,Friendly,completed
lead_in_000033,1882-03-13|Wales|England,1882-03-13,ENG,England,England,,Wales,Wales,away,False,Wales,England,Wales,England,3,5,-2,1923.0,1511.0,-26.0,loss,Friendly,Wrexham,Wales,False,52685,0,0,0,0,0,0,False,,,1882_friendly,1882-03-13|Wales|England,,Friendly,completed
lead_in_000034,1882-03-25|Scotland|Wales,1882-03-25,SCO,Scotland,Scotland,,Wales,Wales,home,True,Scotland,Wales,Scotland,Wales,5,0,5,2075.0,1537.0,1.0,win,Friendly,Glasgow,Scotland,False,52673,0,0,0,0,0,0,False,,,1882_friendly,1882-03-25|Scotland|Wales,,Friendly,completed
lead_in_000035,1883-02-03|England|Wales,1883-02-03,ENG,England,England,,Wales,Wales,home,True,England,Wales,England,Wales,5,0,5,1897.0,1536.0,3.0,win,Friendly,London,England,False,52358,0,0,0,0,0,0,False,,,1883_friendly,1883-02-03|England|Wales,,Friendly,completed
lead_in_000036,1883-02-24|England|Northern Ireland,1883-02-24,ENG,England,England,,Northern Ireland,Northern Ireland,home,True,England,Northern Ireland,England,Northern Ireland,7,0,7,1900.0,1291.0,1.0,win,Friendly,Liverpool,England,False,52337,0,0,0,0,0,0,False,,,1883_friendly,1883-02-24|England|Northern Ireland,,Friendly,completed
lead_in_000037,1883-03-10|England|Scotland,1883-03-10,ENG,England,England,SCO,Scotland,Scotland,home,True,England,Scotland,England,Scotland,2,3,-1,1901.0,2076.0,-8.0,loss,Friendly,Sheffield,England,False,52323,0,0,0,0,0,0,False,,,1883_friendly,1883-03-10|England|Scotland,,Friendly,completed
lead_in_000038,1883-03-10|England|Scotland,1883-03-10,SCO,Scotland,Scotland,ENG,England,England,away,False,England,Scotland,England,Scotland,3,2,1,2076.0,1901.0,8.0,win,Friendly,Sheffield,England,False,52323,0,0,0,0,0,0,False,,,1883_friendly,1883-03-10|England|Scotland,,Friendly,completed
lead_in_000039,1883-03-12|Wales|Scotland,1883-03-12,SCO,Scotland,Scotland,,Wales,Wales,away,False,Wales,Scotland,Wales,Scotland,3,0,3,2084.0,1533.0,2.0,win,Friendly,Wrexham,Wales,False,52321,0,0,0,0,0,0,False,,,1883_friendly,1883-03-12|Wales|Scotland,,Friendly,completed
lead_in_000040,1884-01-26|Northern Ireland|Scotland,1884-01-26,SCO,Scotland,Scotland,,Northern Ireland,Northern Ireland,away,False,Northern Ireland,Scotland,Northern Ireland,Scotland,5,0,5,2086.0,1294.0,1.0,win,British Home Championship,Belfast,Ireland,False,52001,0,0,0,0,0,0,False,,,1884_british_home_championship,1884-01-26|Northern Ireland|Scotland,,British Home Championship,completed
lead_in_000041,1884-02-23|Northern Ireland|England,1884-02-23,ENG,England,England,,Northern Ireland,Northern Ireland,away,False,Northern Ireland,England,Northern Ireland,England,8,1,7,1893.0,1282.0,5.0,win,British Home Championship,Belfast,Ireland,False,51973,0,0,0,0,0,0,False,,,1884_british_home_championship,1884-02-23|Northern Ireland|England,,British Home Championship,completed
lead_in_000042,1884-03-15|Scotland|England,1884-03-15,SCO,Scotland,Scotland,ENG,England,England,home,True,Scotland,England,Scotland,England,1,0,1,2087.0,1898.0,6.0,win,British Home Championship,Glasgow,Scotland,False,51952,0,0,0,0,0,0,False,,,1884_british_home_championship,1884-03-15|Scotland|England,,British Home Championship,completed
lead_in_000043,1884-03-15|Scotland|England,1884-03-15,ENG,England,England,SCO,Scotland,Scotland,away,False,Scotland,England,Scotland,England,0,1,-1,1898.0,2087.0,-6.0,loss,British Home Championship,Glasgow,Scotland,False,51952,0,0,0,0,0,0,False,,,1884_british_home_championship,1884-03-15|Scotland|England,,British Home Championship,completed
lead_in_000044,1884-03-17|Wales|England,1884-03-17,ENG,England,England,,Wales,Wales,away,False,Wales,England,Wales,England,4,0,4,1892.0,1538.0,14.0,win,British Home Championship,Wrexham,Wales,False,51950,0,0,0,0,0,0,False,,,1884_british_home_championship,1884-03-17|Wales|England,,British Home Championship,completed
lead_in_000045,1884-03-29|Scotland|Wales,1884-03-29,SCO,Scotland,Scotland,,Wales,Wales,home,True,Scotland,Wales,Scotland,Wales,4,1,3,2093.0,1524.0,1.0,win,British Home Championship,Glasgow,Scotland,False,51938,0,0,0,0,0,0,False,,,1884_british_home_championship,1884-03-29|Scotland|Wales,,British Home Championship,completed
lead_in_000046,1885-02-28|England|Northern Ireland,1885-02-28,ENG,England,England,,Northern Ireland,Northern Ireland,home,True,England,Northern Ireland,England,Northern Ireland,4,0,4,1906.0,1277.0,1.0,win,British Home Championship,Manchester,England,False,51602,0,0,0,0,0,0,False,,,1885_british_home_championship,1885-02-28|England|Northern Ireland,,British Home Championship,completed
lead_in_000047,1885-03-14|England|Wales,1885-03-14,ENG,England,England,,Wales,Wales,home,True,England,Wales,England,Wales,1,1,0,1907.0,1523.0,-18.0,draw,British Home Championship,Blackburn,England,False,51588,0,0,0,0,0,0,False,,,1885_british_home_championship,1885-03-14|England|Wales,,British Home Championship,completed
lead_in_000048,1885-03-14|Scotland|Northern Ireland,1885-03-14,SCO,Scotland,Scotland,,Northern Ireland,Northern Ireland,home,True,Scotland,Northern Ireland,Scotland,Northern Ireland,8,2,6,2094.0,1276.0,0.0,win,British Home Championship,Glasgow,Scotland,False,51588,0,0,0,0,0,0,False,,,1885_british_home_championship,1885-03-14|Scotland|Northern Ireland,,British Home Championship,completed
lead_in_000049,1885-03-21|England|Scotland,1885-03-21,ENG,England,England,SCO,Scotland,Scotland,home,True,England,Scotland,England,Scotland,1,1,0,1889.0,2094.0,6.0,draw,British Home Championship,London,England,False,51581,0,0,0,0,0,0,False,,,1885_british_home_championship,1885-03-21|England|Scotland,,British Home Championship,completed
lead_in_000050,1885-03-21|England|Scotland,1885-03-21,SCO,Scotland,Scotland,ENG,England,England,away,False,England,Scotland,England,Scotland,1,1,0,2094.0,1889.0,-6.0,draw,British Home Championship,London,England,False,51581,0,0,0,0,0,0,False,,,1885_british_home_championship,1885-03-21|England|Scotland,,British Home Championship,completed
lead_in_000051,1885-03-23|Wales|Scotland,1885-03-23,SCO,Scotland,Scotland,,Wales,Wales,away,False,Wales,Scotland,Wales,Scotland,8,1,7,2088.0,1541.0,6.0,win,British Home Championship,Wrexham,Wales,False,51579,0,0,0,0,0,0,False,,,1885_british_home_championship,1885-03-23|Wales|Scotland,,British Home Championship,completed
lead_in_000052,1885-11-28|United States|Canada,1885-11-28,USA,United States,United States,CAN,Canada,Canada,home,True,United States,Canada,United States,Canada,0,1,-1,,,,loss,Friendly,Newark,United States,False,51329,0,0,0,0,0,0,False,,,1885_friendly,1885-11-28|United States|Canada,,Friendly,completed
lead_in_000053,1885-11-28|United States|Canada,1885-11-28,CAN,Canada,Canada,USA,United States,United States,away,False,United States,Canada,United States,Canada,1,0,1,,,,win,Friendly,Newark,United States,False,51329,0,0,0,0,0,0,False,,,1885_friendly,1885-11-28|United States|Canada,,Friendly,completed
lead_in_000054,1886-03-13|Northern Ireland|England,1886-03-13,ENG,England,England,,Northern Ireland,Northern Ireland,away,False,Northern Ireland,England,Northern Ireland,England,6,1,5,1895.0,1245.0,3.0,win,British Home Championship,Belfast,Ireland,False,51224,0,0,0,0,0,0,False,,,1886_british_home_championship,1886-03-13|Northern Ireland|England,,British Home Championship,completed
lead_in_000055,1886-03-20|Northern Ireland|Scotland,1886-03-20,SCO,Scotland,Scotland,,Northern Ireland,Northern Ireland,away,False,Northern Ireland,Scotland,Northern Ireland,Scotland,7,2,5,2094.0,1242.0,1.0,win,British Home Championship,Belfast,Ireland,False,51217,0,0,0,0,0,0,False,,,1886_british_home_championship,1886-03-20|Northern Ireland|Scotland,,British Home Championship,completed
lead_in_000056,1886-03-27|Scotland|England,1886-03-27,SCO,Scotland,Scotland,ENG,England,England,home,True,Scotland,England,Scotland,England,1,1,0,2095.0,1898.0,-14.0,draw,British Home Championship,Glasgow,Scotland,False,51210,0,0,0,0,0,0,False,,,1886_british_home_championship,1886-03-27|Scotland|England,,British Home Championship,completed
lead_in_000057,1886-03-27|Scotland|England,1886-03-27,ENG,England,England,SCO,Scotland,Scotland,away,False,Scotland,England,Scotland,England,1,1,0,1898.0,2095.0,14.0,draw,British Home Championship,Glasgow,Scotland,False,51210,0,0,0,0,0,0,False,,,1886_british_home_championship,1886-03-27|Scotland|England,,British Home Championship,completed
lead_in_000058,1886-03-29|Wales|England,1886-03-29,ENG,England,England,,Wales,Wales,away,False,Wales,England,Wales,England,3,1,2,1912.0,1566.0,12.0,win,British Home Championship,Wrexham,Wales,False,51208,0,0,0,0,0,0,False,,,1886_british_home_championship,1886-03-29|Wales|England,,British Home Championship,completed
lead_in_000059,1886-04-10|Scotland|Wales,1886-04-10,SCO,Scotland,Scotland,,Wales,Wales,home,True,Scotland,Wales,Scotland,Wales,4,1,3,2081.0,1554.0,2.0,win,British Home Championship,Glasgow,Scotland,False,51196,0,0,0,0,0,0,False,,,1886_british_home_championship,1886-04-10|Scotland|Wales,,British Home Championship,completed
lead_in_000060,1886-11-25|United States|Canada,1886-11-25,USA,United States,United States,CAN,Canada,Canada,home,True,United States,Canada,United States,Canada,3,2,1,,,,win,Friendly,Newark,United States,False,50967,0,0,0,0,0,0,False,,,1886_friendly,1886-11-25|United States|Canada,,Friendly,completed
lead_in_000061,1886-11-25|United States|Canada,1886-11-25,CAN,Canada,Canada,USA,United States,United States,away,False,United States,Canada,United States,Canada,2,3,-1,,,,loss,Friendly,Newark,United States,False,50967,0,0,0,0,0,0,False,,,1886_friendly,1886-11-25|United States|Canada,,Friendly,completed
lead_in_000062,1887-02-05|England|Northern Ireland,1887-02-05,ENG,England,England,,Northern Ireland,Northern Ireland,home,True,England,Northern Ireland,England,Northern Ireland,7,0,7,1924.0,1241.0,1.0,win,British Home Championship,Sheffield,England,False,50895,0,0,0,0,0,0,False,,,1887_british_home_championship,1887-02-05|England|Northern Ireland,,British Home Championship,completed
lead_in_000063,1887-02-19|Scotland|Northern Ireland,1887-02-19,SCO,Scotland,Scotland,,Northern Ireland,Northern Ireland,home,True,Scotland,Northern Ireland,Scotland,Northern Ireland,4,1,3,2083.0,1240.0,0.0,win,British Home Championship,Glasgow,Scotland,False,50881,0,0,0,0,0,0,False,,,1887_british_home_championship,1887-02-19|Scotland|Northern Ireland,,British Home Championship,completed
lead_in_000064,1887-02-26|England|Wales,1887-02-26,ENG,England,England,,Wales,Wales,home,True,England,Wales,England,Wales,4,0,4,1925.0,1552.0,5.0,win,British Home Championship,London,England,False,50874,0,0,0,0,0,0,False,,,1887_british_home_championship,1887-02-26|England|Wales,,British Home Championship,completed
lead_in_000065,1887-03-19|England|Scotland,1887-03-19,ENG,England,England,SCO,Scotland,Scotland,home,True,England,Scotland,England,Scotland,2,3,-1,1930.0,2083.0,-17.0,loss,British Home Championship,Blackburn,England,False,50853,0,0,0,0,0,0,False,,,1887_british_home_championship,1887-03-19|England|Scotland,,British Home Championship,completed
lead_in_000066,1887-03-19|England|Scotland,1887-03-19,SCO,Scotland,Scotland,ENG,England,England,away,False,England,Scotland,England,Scotland,3,2,1,2083.0,1930.0,17.0,win,British Home Championship,Blackburn,England,False,50853,0,0,0,0,0,0,False,,,1887_british_home_championship,1887-03-19|England|Scotland,,British Home Championship,completed
lead_in_000067,1887-03-21|Wales|Scotland,1887-03-21,SCO,Scotland,Scotland,,Wales,Wales,away,False,Wales,Scotland,Wales,Scotland,2,0,2,2100.0,1493.0,3.0,win,British Home Championship,Wrexham,Wales,False,50851,0,0,0,0,0,0,False,,,1887_british_home_championship,1887-03-21|Wales|Scotland,,British Home Championship,completed
lead_in_000068,1888-02-04|England|Wales,1888-02-04,ENG,England,England,,Wales,Wales,home,True,England,Wales,England,Wales,5,1,4,1913.0,1490.0,4.0,win,British Home Championship,Crewe,England,False,50531,0,0,0,0,0,0,False,,,1888_british_home_championship,1888-02-04|England|Wales,,British Home Championship,completed
lead_in_000069,1888-03-10|Scotland|Wales,1888-03-10,SCO,Scotland,Scotland,,Wales,Wales,home,True,Scotland,Wales,Scotland,Wales,5,1,4,2103.0,1503.0,1.0,win,British Home Championship,Edinburgh,Scotland,False,50496,0,0,0,0,0,0,False,,,1888_british_home_championship,1888-03-10|Scotland|Wales,,British Home Championship,completed
lead_in_000070,1888-03-17|Scotland|England,1888-03-17,SCO,Scotland,Scotland,ENG,England,England,home,True,Scotland,England,Scotland,England,0,5,-5,2104.0,1917.0,-67.0,loss,British Home Championship,Glasgow,Scotland,False,50489,0,0,0,0,0,0,False,,,1888_british_home_championship,1888-03-17|Scotland|England,,British Home Championship,completed
lead_in_000071,1888-03-17|Scotland|England,1888-03-17,ENG,England,England,SCO,Scotland,Scotland,away,False,Scotland,England,Scotland,England,5,0,5,1917.0,2104.0,67.0,win,British Home Championship,Glasgow,Scotland,False,50489,0,0,0,0,0,0,False,,,1888_british_home_championship,1888-03-17|Scotland|England,,British Home Championship,completed
lead_in_000072,1888-03-24|Northern Ireland|Scotland,1888-03-24,SCO,Scotland,Scotland,,Northern Ireland,Northern Ireland,away,False,Northern Ireland,Scotland,Northern Ireland,Scotland,10,2,8,2037.0,1277.0,2.0,win,British Home Championship,Belfast,Ireland,False,50482,0,0,0,0,0,0,False,,,1888_british_home_championship,1888-03-24|Northern Ireland|Scotland,,British Home Championship,completed
lead_in_000073,1888-04-07|Northern Ireland|England,1888-04-07,ENG,England,England,,Northern Ireland,Northern Ireland,away,False,Northern Ireland,England,Northern Ireland,England,5,1,4,1984.0,1275.0,2.0,win,British Home Championship,Belfast,Ireland,False,50468,0,0,0,0,0,0,False,,,1888_british_home_championship,1888-04-07|Northern Ireland|England,,British Home Championship,completed
lead_in_000074,1888-09-19|Scotland|Canada,1888-09-19,SCO,Scotland,Scotland,CAN,Canada,Canada,home,True,Scotland,Canada,Scotland,Canada,4,0,4,,,,win,Friendly,Glasgow,Scotland,False,50303,0,0,0,0,0,0,False,,,1888_friendly,1888-09-19|Scotland|Canada,,Friendly,completed
lead_in_000075,1888-09-19|Scotland|Canada,1888-09-19,CAN,Canada,Canada,SCO,Scotland,Scotland,away,False,Scotland,Canada,Scotland,Canada,0,4,-4,,,,loss,Friendly,Glasgow,Scotland,False,50303,0,0,0,0,0,0,False,,,1888_friendly,1888-09-19|Scotland|Canada,,Friendly,completed
lead_in_000076,1889-02-23|England|Wales,1889-02-23,ENG,England,England,,Wales,Wales,home,True,England,Wales,England,Wales,4,1,3,1986.0,1502.0,2.0,win,British Home Championship,Stoke-on-Trent,England,False,50146,0,0,0,0,0,0,False,,,1889_british_home_championship,1889-02-23|England|Wales,,British Home Championship,completed
lead_in_000077,1889-03-02|England|Northern Ireland,1889-03-02,ENG,England,England,,Northern Ireland,Northern Ireland,home,True,England,Northern Ireland,England,Northern Ireland,6,1,5,1988.0,1273.0,1.0,win,British Home Championship,Liverpool,England,False,50139,0,0,0,0,0,0,False,,,1889_british_home_championship,1889-03-02|England|Northern Ireland,,British Home Championship,completed
lead_in_000078,1889-03-09|Scotland|Northern Ireland,1889-03-09,SCO,Scotland,Scotland,,Northern Ireland,Northern Ireland,home,True,Scotland,Northern Ireland,Scotland,Northern Ireland,7,0,7,2039.0,1272.0,1.0,win,British Home Championship,Glasgow,Scotland,False,50132,0,0,0,0,0,0,False,,,1889_british_home_championship,1889-03-09|Scotland|Northern Ireland,,British Home Championship,completed
lead_in_000079,1889-04-13|England|Scotland,1889-04-13,ENG,England,England,SCO,Scotland,Scotland,home,True,England,Scotland,England,Scotland,2,3,-1,1989.0,2040.0,-23.0,loss,British Home Championship,London,England,False,50097,0,0,0,0,0,0,False,,,1889_british_home_championship,1889-04-13|England|Scotland,,British Home Championship,completed
lead_in_000080,1889-04-13|England|Scotland,1889-04-13,SCO,Scotland,Scotland,ENG,England,England,away,False,England,Scotland,England,Scotland,3,2,1,2040.0,1989.0,23.0,win,British Home Championship,London,England,False,50097,0,0,0,0,0,0,False,,,1889_british_home_championship,1889-04-13|England|Scotland,,British Home Championship,completed
lead_in_000081,1889-04-15|Wales|Scotland,1889-04-15,SCO,Scotland,Scotland,,Wales,Wales,away,False,Wales,Scotland,Wales,Scotland,0,0,0,2063.0,1500.0,-17.0,draw,British Home Championship,Wrexham,Wales,False,50095,0,0,0,0,0,0,False,,,1889_british_home_championship,1889-04-15|Wales|Scotland,,British Home Championship,completed
lead_in_000082,1890-03-15|Northern Ireland|England,1890-03-15,ENG,England,England,,Northern Ireland,Northern Ireland,away,False,Northern Ireland,England,Northern Ireland,England,9,1,8,1966.0,1241.0,3.0,win,British Home Championship,Belfast,Ireland,False,49761,0,0,0,0,0,0,False,,,1890_british_home_championship,1890-03-15|Northern Ireland|England,,British Home Championship,completed
