date,tournament,status,team,team_code,opponent,opponent_code,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
1991-04-21,African Cup of Nations qualification,played,Togo,TGO,Burkina Faso,,TRUE,1,0,win,Lomé,Togo,FALSE,1347,1430,1366,1411,19
1991-04-29,African Cup of Nations qualification,played,Togo,TGO,Ghana,GHA,FALSE,0,2,loss,Accra,Ghana,FALSE,1366,1537,1356,1547,-10
1991-07-14,African Cup of Nations qualification,played,Togo,TGO,Benin,,TRUE,2,0,win,Lomé,Togo,FALSE,1356,1207,1368,1195,12
1992-04-05,Friendly,played,Togo,TGO,Ghana,GHA,TRUE,1,0,win,Lomé,Togo,FALSE,1368,1649,1383,1634,15
1992-06-14,Friendly,played,Togo,TGO,Gabon,,FALSE,0,1,loss,Libreville,Gabon,FALSE,1383,1404,1376,1411,-7
1992-10-09,FIFA World Cup qualification,played,Togo,TGO,Zimbabwe,,FALSE,0,1,loss,Harare,Zimbabwe,FALSE,1374,1479,1365,1488,-9
1992-10-25,FIFA World Cup qualification,played,Togo,TGO,Egypt,EGY,TRUE,1,4,loss,Lomé,Togo,FALSE,1365,1649,1347,1667,-18
1993-01-17,FIFA World Cup qualification,played,Togo,TGO,Zimbabwe,,TRUE,1,2,loss,Lomé,Togo,FALSE,1347,1506,1330,1523,-17
1993-01-31,FIFA World Cup qualification,played,Togo,TGO,Egypt,EGY,FALSE,0,3,loss,Cairo,Egypt,FALSE,1333,1629,1327,1635,-6
1993-02-28,FIFA World Cup qualification,played,Togo,TGO,Angola,AGO,TRUE,0,1,loss,Lomé,Togo,FALSE,1327,1383,1304,1406,-23
1994-08-16,Friendly,played,Togo,TGO,Niger,,FALSE,2,3,loss,Niamey,Niger,FALSE,1302,1346,1296,1352,-6
1994-09-04,African Cup of Nations qualification,played,Togo,TGO,Liberia,,FALSE,0,1,loss,Monrovia,Liberia,FALSE,1296,1361,1285,1372,-11
1994-09-06,Friendly,played,Togo,TGO,Liberia,,FALSE,1,1,draw,Monrovia,Liberia,FALSE,1285,1372,1290,1367,5
1994-10-16,African Cup of Nations qualification,played,Togo,TGO,Senegal,SEN,TRUE,2,0,win,Lomé,Togo,FALSE,1290,1425,1323,1392,33
1994-11-13,African Cup of Nations qualification,played,Togo,TGO,Tunisia,TUN,FALSE,1,1,draw,Tunis,Tunisia,FALSE,1323,1583,1339,1567,16
1994-12-04,Friendly,played,Togo,TGO,Burkina Faso,,TRUE,2,0,win,Lomé,Togo,FALSE,1339,1388,1352,1375,13
1994-12-18,Friendly,played,Togo,TGO,Cameroon,CMR,FALSE,1,1,draw,Douala,Cameroon,FALSE,1352,1579,1359,1572,7
1995-01-08,African Cup of Nations qualification,played,Togo,TGO,Mauritania,,TRUE,0,0,draw,Lomé,Togo,FALSE,1359,1150,1345,1164,-14
1995-01-15,Friendly,played,Togo,TGO,Ivory Coast,CIV,FALSE,0,0,draw,Bouaké,Ivory Coast,FALSE,1345,1647,1353,1639,8
1995-04-09,African Cup of Nations qualification,played,Togo,TGO,Liberia,,TRUE,0,0,draw,Lomé,Togo,FALSE,1353,1369,1348,1374,-5
1995-04-22,African Cup of Nations qualification,played,Togo,TGO,Senegal,SEN,FALSE,1,5,loss,Dakar,Senegal,FALSE,1348,1431,1329,1450,-19
1995-05-13,Friendly,played,Togo,TGO,Benin,,TRUE,3,0,win,Lomé,Togo,FALSE,1329,1136,1334,1131,5
